,iso3,loage,hiage,women,year
2249,AGO,95,99,0,2010
2251,AGO,15,19,1478,2015
2252,AGO,20,24,1239,2015
2253,AGO,25,29,1042,2015
2254,AGO,30,34,858,2015
2255,AGO,35,39,715,2015
2256,AGO,40,44,568,2015
2257,AGO,45,49,449,2015
2258,AGO,50,54,368,2015
2259,AGO,55,59,297,2015
2260,AGO,60,64,241,2015
2261,AGO,65,69,143,2015
2262,AGO,70,74,102,2015
2263,AGO,75,79,66,2015
2264,AGO,80,84,34,2015
2268,AGO,80,NA,NA,2015
2265,AGO,85,89,13,2015
2266,AGO,90,94,3,2015
2267,AGO,95,99,0,2015
13825,ALB,15,19,156,1990
13826,ALB,20,24,149,1990
13827,ALB,25,29,146,1990
13828,ALB,30,34,127,1990
13829,ALB,35,39,101,1990
13830,ALB,40,44,79,1990
13831,ALB,45,49,69,1990
13832,ALB,50,54,63,1990
13833,ALB,55,59,50,1990
13834,ALB,60,64,43,1990
13835,ALB,65,69,35,1990
13836,ALB,70,74,27,1990
13837,ALB,75,79,20,1990
13838,ALB,80,84,12,1990
13842,ALB,80,NA,NA,1990
13839,ALB,85,89,4,1990
13840,ALB,90,94,1,1990
13841,ALB,95,99,0,1990
13843,ALB,15,19,146,1995
13844,ALB,20,24,134,1995
13845,ALB,25,29,123,1995
13846,ALB,30,34,124,1995
13847,ALB,35,39,111,1995
13848,ALB,40,44,91,1995
13849,ALB,45,49,72,1995
13850,ALB,50,54,64,1995
13851,ALB,55,59,59,1995
13852,ALB,60,64,47,1995
13853,ALB,65,69,39,1995
13854,ALB,70,74,30,1995
13855,ALB,75,79,21,1995
13856,ALB,80,84,13,1995
13860,ALB,80,NA,NA,1995
13857,ALB,85,89,6,1995
13858,ALB,90,94,1,1995
13859,ALB,95,99,0,1995
13861,ALB,15,19,146,2000
13862,ALB,20,24,124,2000
13863,ALB,25,29,113,2000
13864,ALB,30,34,112,2000
13865,ALB,35,39,116,2000
13866,ALB,40,44,103,2000
13867,ALB,45,49,83,2000
13868,ALB,50,54,65,2000
13869,ALB,55,59,56,2000
13870,ALB,60,64,51,2000
13871,ALB,65,69,40,2000
13872,ALB,70,74,32,2000
13873,ALB,75,79,22,2000
13874,ALB,80,84,14,2000
13878,ALB,80,NA,NA,2000
13875,ALB,85,89,6,2000
13876,ALB,90,94,2,2000
13877,ALB,95,99,0,2000
13879,ALB,15,19,158,2005
13880,ALB,20,24,130,2005
13881,ALB,25,29,102,2005
13882,ALB,30,34,98,2005
13883,ALB,35,39,106,2005
13884,ALB,40,44,113,2005
13885,ALB,45,49,101,2005
13886,ALB,50,54,81,2005
13887,ALB,55,59,63,2005
13888,ALB,60,64,54,2005
13889,ALB,65,69,48,2005
13890,ALB,70,74,36,2005
13891,ALB,75,79,26,2005
13892,ALB,80,84,15,2005
13896,ALB,80,NA,NA,2005
13893,ALB,85,89,7,2005
13894,ALB,90,94,2,2005
13895,ALB,95,99,0,2005
13897,ALB,15,19,135,2010
13898,ALB,20,24,122,2010
13899,ALB,25,29,102,2010
13900,ALB,30,34,89,2010
13901,ALB,35,39,94,2010
13902,ALB,40,44,99,2010
13903,ALB,45,49,106,2010
13904,ALB,50,54,98,2010
13905,ALB,55,59,81,2010
13906,ALB,60,64,63,2010
13907,ALB,65,69,53,2010
13908,ALB,70,74,46,2010
13909,ALB,75,79,31,2010
13910,ALB,80,84,19,2010
13914,ALB,80,NA,NA,2010
13911,ALB,85,89,8,2010
13912,ALB,90,94,3,2010
13913,ALB,95,99,0,2010
13915,ALB,15,19,123,2015
13916,ALB,20,24,101,2015
13917,ALB,25,29,91,2015
13918,ALB,30,34,105,2015
13919,ALB,35,39,99,2015
13920,ALB,40,44,98,2015
13921,ALB,45,49,101,2015
13922,ALB,50,54,108,2015
13923,ALB,55,59,101,2015
13924,ALB,60,64,78,2015
13925,ALB,65,69,56,2015
13926,ALB,70,74,53,2015
13927,ALB,75,79,43,2015
13928,ALB,80,84,23,2015
13932,ALB,80,NA,NA,2015
13929,ALB,85,89,11,2015
13930,ALB,90,94,3,2015
13931,ALB,95,99,1,2015
11449,ARE,15,19,59,1990
11450,ARE,20,24,51,1990
11451,ARE,25,29,56,1990
11452,ARE,30,34,61,1990
11453,ARE,35,39,47,1990
11454,ARE,40,44,32,1990
11455,ARE,45,49,19,1990
11456,ARE,50,54,10,1990
11457,ARE,55,59,8,1990
11458,ARE,60,64,5,1990
11459,ARE,65,69,4,1990
11460,ARE,70,74,3,1990
11461,ARE,75,79,2,1990
11462,ARE,80,84,1,1990
11466,ARE,80,NA,NA,1990
11463,ARE,85,89,0,1990
11464,ARE,90,94,0,1990
11465,ARE,95,99,0,1990
11467,ARE,15,19,76,1995
11468,ARE,20,24,78,1995
11469,ARE,25,29,88,1995
11470,ARE,30,34,80,1995
11471,ARE,35,39,67,1995
11472,ARE,40,44,45,1995
11473,ARE,45,49,26,1995
11474,ARE,50,54,15,1995
11475,ARE,55,59,8,1995
11476,ARE,60,64,6,1995
11477,ARE,65,69,4,1995
11478,ARE,70,74,4,1995
11479,ARE,75,79,2,1995
11480,ARE,80,84,1,1995
11484,ARE,80,NA,NA,1995
11481,ARE,85,89,0,1995
11482,ARE,90,94,0,1995
11483,ARE,95,99,0,1995
11485,ARE,15,19,96,2000
11486,ARE,20,24,98,2000
11487,ARE,25,29,113,2000
11488,ARE,30,34,102,2000
11489,ARE,35,39,83,2000
11490,ARE,40,44,57,2000
11491,ARE,45,49,32,2000
11492,ARE,50,54,20,2000
11493,ARE,55,59,10,2000
11494,ARE,60,64,7,2000
11495,ARE,65,69,6,2000
11496,ARE,70,74,3,2000
11497,ARE,75,79,3,2000
11498,ARE,80,84,1,2000
11502,ARE,80,NA,NA,2000
11499,ARE,85,89,1,2000
