iso3,countryname,region,super_region,year,age_group,ever_had_sex
SOM,Somalia,Sub-Saharan,3,1983,25,0.9730986
SOM,Somalia,Sub-Saharan,3,1983,30,0.9893717
SOM,Somalia,Sub-Saharan,3,1983,35,0.9933408
SOM,Somalia,Sub-Saharan,3,1983,40,0.9954039
SOM,Somalia,Sub-Saharan,3,1983,45,0.9947512
SOM,Somalia,Sub-Saharan,3,1984,15,0.4277822
SOM,Somalia,Sub-Saharan,3,1984,20,0.8885125
SOM,Somalia,Sub-Saharan,3,1984,25,0.9735856
SOM,Somalia,Sub-Saharan,3,1984,30,0.9896016
SOM,Somalia,Sub-Saharan,3,1984,35,0.9935032
SOM,Somalia,Sub-Saharan,3,1984,40,0.9955407
SOM,Somalia,Sub-Saharan,3,1984,45,0.9948938
SOM,Somalia,Sub-Saharan,3,1985,15,0.4286967
SOM,Somalia,Sub-Saharan,3,1985,20,0.8894414
SOM,Somalia,Sub-Saharan,3,1985,25,0.9740307
SOM,Somalia,Sub-Saharan,3,1985,30,0.9898275
SOM,Somalia,Sub-Saharan,3,1985,35,0.9936634
SOM,Somalia,Sub-Saharan,3,1985,40,0.9956771
SOM,Somalia,Sub-Saharan,3,1985,45,0.9950362
SOM,Somalia,Sub-Saharan,3,1986,15,0.429313
SOM,Somalia,Sub-Saharan,3,1986,20,0.8900498
SOM,Somalia,Sub-Saharan,3,1986,25,0.9744159
SOM,Somalia,Sub-Saharan,3,1986,30,0.9900319
SOM,Somalia,Sub-Saharan,3,1986,35,0.9938101
SOM,Somalia,Sub-Saharan,3,1986,40,0.9958043
SOM,Somalia,Sub-Saharan,3,1986,45,0.9951699
SOM,Somalia,Sub-Saharan,3,1987,15,0.429385
SOM,Somalia,Sub-Saharan,3,1987,20,0.8903155
SOM,Somalia,Sub-Saharan,3,1987,25,0.9747331
SOM,Somalia,Sub-Saharan,3,1987,30,0.9902146
SOM,Somalia,Sub-Saharan,3,1987,35,0.9939393
SOM,Somalia,Sub-Saharan,3,1987,40,0.9959196
SOM,Somalia,Sub-Saharan,3,1987,45,0.9952933
SOM,Somalia,Sub-Saharan,3,1988,15,0.4291037
SOM,Somalia,Sub-Saharan,3,1988,20,0.8904299
SOM,Somalia,Sub-Saharan,3,1988,25,0.9750363
SOM,Somalia,Sub-Saharan,3,1988,30,0.9903964
SOM,Somalia,Sub-Saharan,3,1988,35,0.9940658
SOM,Somalia,Sub-Saharan,3,1988,40,0.9960344
SOM,Somalia,Sub-Saharan,3,1988,45,0.9954189
SOM,Somalia,Sub-Saharan,3,1989,15,0.4284448
SOM,Somalia,Sub-Saharan,3,1989,20,0.8902888
SOM,Somalia,Sub-Saharan,3,1989,25,0.9753087
SOM,Somalia,Sub-Saharan,3,1989,30,0.9905701
SOM,Somalia,Sub-Saharan,3,1989,35,0.9941874
SOM,Somalia,Sub-Saharan,3,1989,40,0.9961491
SOM,Somalia,Sub-Saharan,3,1989,45,0.9955453
SOM,Somalia,Sub-Saharan,3,1990,15,0.427798
SOM,Somalia,Sub-Saharan,3,1990,20,0.8902307
SOM,Somalia,Sub-Saharan,3,1990,25,0.9756187
SOM,Somalia,Sub-Saharan,3,1990,30,0.9907646
SOM,Somalia,Sub-Saharan,3,1990,35,0.9943215
SOM,Somalia,Sub-Saharan,3,1990,40,0.9962785
SOM,Somalia,Sub-Saharan,3,1990,45,0.9956859
SOM,Somalia,Sub-Saharan,3,1991,15,0.4271978
SOM,Somalia,Sub-Saharan,3,1991,20,0.8903235
SOM,Somalia,Sub-Saharan,3,1991,25,0.976015
SOM,Somalia,Sub-Saharan,3,1991,30,0.9909956
